rating,text,text_en,lang,cleaned,tokens
,"Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.","Bought this product on 6th May 2021. Flipkart delivered it on 10th May 2021. Product received 2 days before the scheduled delivery that too in lockdown period. Packaging was good and product came a brand new.
I was looking for a personal cooler and i must say hindware cooler does his job very nicely. Cooling is great at this size of cooler. Water tank is sufficient. All you need is to keep cooler in a room and create ventilation to enjoy best cooling experience. Look wise cooler is super cute and very easy to keep it because of its tiny size. Great product. Must recommend to buy this summer and enjoy cooling.
If it would have ice chamber too that would be an plus for this cooler but without ice chamber also it does its job very well.",en,bought product 6th may 2021 flipkart delivered 10th may 2021 product received day scheduled delivery lockdown period packaging good product came brand new looking personal cooler must say hindware cooler job nicely cooling great size cooler water tank sufficient need keep cooler room create ventilation enjoy best cooling experience look wise cooler super cute easy keep tiny size great product must recommend buy summer enjoy cooling would ice chamber would plus cooler without ice chamber also job well,"['bought', 'product', '6th', 'may', '2021', 'flipkart', 'delivered', '10th', 'may', '2021', 'product', 'received', 'day', 'scheduled', 'delivery', 'lockdown', 'period', 'packaging', 'good', 'product', 'came', 'brand', 'new', 'looking', 'personal', 'cooler', 'must', 'say', 'hindware', 'cooler', 'job', 'nicely', 'cooling', 'great', 'size', 'cooler', 'water', 'tank', 'sufficient', 'need', 'keep', 'cooler', 'room', 'create', 'ventilation', 'enjoy', 'best', 'cooling', 'experience', 'look', 'wise', 'cooler', 'super', 'cute', 'easy', 'keep', 'tiny', 'size', 'great', 'product', 'must', 'recommend', 'buy', 'summer', 'enjoy', 'cooling', 'would', 'ice', 'chamber', 'would', 'plus', 'cooler', 'without', 'ice', 'chamber', 'also', 'job', 'well']"
3.9,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,Just awesome product.... Delivery on time.... It's functioning very good..... Behaviour of the delivery executive was very good....I'm very happy......Same as shown in the picture..... Everything is just awesome....I just loved it very much..... Thank you Flipkart and delivery executive for good servicing.......🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️,en,awesome product delivery time functioning good behaviour delivery executive good happy shown picture everything awesome loved much thank flipkart delivery executive good servicing,"['awesome', 'product', 'delivery', 'time', 'functioning', 'good', 'behaviour', 'delivery', 'executive', 'good', 'happy', 'shown', 'picture', 'everything', 'awesome', 'loved', 'much', 'thank', 'flipkart', 'delivery', 'executive', 'good', 'servicing']"
,leakage in water,leakage in water,af,leakage water,"['leakage', 'water']"
,"Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.","Cooler is consist of one fan ,one submersible pump ,three side honeycomb pad,one water tank and some electrical circuits. Don't expect too much cooling , it's just a cooling fan. The cooler cools to a specific area,it will not cool the room.This much amount for these component is high.it could be in between 2500 to 3500. However, under 6000 this product is better than most of the cooler available in the market. The product I got is bent from two sides.",en,cooler consist one fan one submersible pump three side honeycomb pad one water tank electrical circuit expect much cooling cooling fan cooler cool specific area cool room much amount component high could 2500 3500 however 6000 product better cooler available market product got bent two side,"['cooler', 'consist', 'one', 'fan', 'one', 'submersible', 'pump', 'three', 'side', 'honeycomb', 'pad', 'one', 'water', 'tank', 'electrical', 'circuit', 'expect', 'much', 'cooling', 'cooling', 'fan', 'cooler', 'cool', 'specific', 'area', 'cool', 'room', 'much', 'amount', 'component', 'high', 'could', '2500', '3500', 'however', '6000', 'product', 'better', 'cooler', 'available', 'market', 'product', 'got', 'bent', 'two', 'side']"
,"4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.","4 out of 5 Design.
4 out of 5 noise
5 out of 5 tank capacity. Sufficient capacity for two days of water.
5 out of 5 Air throw
3 out of 5 ice chamber
4 out of 5 cooling. The main reason is honeycomb pads are not enough dense.

Overall good purchase. I am satisfied.
You can go with this.",en,design noise tank capacity sufficient capacity two day water air throw ice chamber cooling main reason honeycomb pad enough dense overall good purchase satisfied,"['design', 'noise', 'tank', 'capacity', 'sufficient', 'capacity', 'two', 'day', 'water', 'air', 'throw', 'ice', 'chamber', 'cooling', 'main', 'reason', 'honeycomb', 'pad', 'enough', 'dense', 'overall', 'good', 'purchase', 'satisfied']"
,"First week:
Enough sturdy, good fan and cooling capacity for small to medium sized rooms. Not for halls or large rooms. It says 45 litres but I think it's lesser thought of rating a star less for this but didn't do it as it serves the purpose.
Second week:
Leakage problem starts
No option to remove, replace, clean or adjust sides as the option to do so is not available, only rear side is detachable. Final verdict not recommended because of undetachable sides. A good product with major defect.
Third week:
Water leakage stopped automatically, but one drawback with is side pads are not detachable.","First week:
Enough sturdy, good fan and cooling capacity for small to medium sized rooms. Not for halls or large rooms. It says 45 litres but I think it's lesser thought of rating a star less for this but didn't do it as it serves the purpose.
Second week:
Leakage problem starts
No option to remove, replace, clean or adjust sides as the option to do so is not available, only rear side is detachable. Final verdict not recommended because of undetachable sides. A good product with major defect.
Third week:
Water leakage stopped automatically, but one drawback with is side pads are not detachable.",en,first week enough sturdy good fan cooling capacity small medium sized room hall large room say litre think lesser thought rating star less serf purpose second week leakage problem start option remove replace clean adjust side option available rear side detachable final verdict recommended undetachable side good product major defect third week water leakage stopped automatically one drawback side pad detachable,"['first', 'week', 'enough', 'sturdy', 'good', 'fan', 'cooling', 'capacity', 'small', 'medium', 'sized', 'room', 'hall', 'large', 'room', 'say', 'litre', 'think', 'lesser', 'thought', 'rating', 'star', 'less', 'serf', 'purpose', 'second', 'week', 'leakage', 'problem', 'start', 'option', 'remove', 'replace', 'clean', 'adjust', 'side', 'option', 'available', 'rear', 'side', 'detachable', 'final', 'verdict', 'recommended', 'undetachable', 'side', 'good', 'product', 'major', 'defect', 'third', 'week', 'water', 'leakage', 'stopped', 'automatically', 'one', 'drawback', 'side', 'pad', 'detachable']"
,Nice one for medium type rooms cools effectively. Thanks to delivery boy as he delivered the product to 3rd floor.,Nice one for medium type rooms cools effectively. Thanks to delivery boy as he delivered the product to 3rd floor.,en,nice one medium type room cool effectively thanks delivery boy delivered product 3rd floor,"['nice', 'one', 'medium', 'type', 'room', 'cool', 'effectively', 'thanks', 'delivery', 'boy', 'delivered', 'product', '3rd', 'floor']"
,"It cools very fastly ,best cooler at this price and daily fill fresh water for best cooling results, when not in use cover up the air cooler with its card board or rut box or wrap some old clothes otherwise mosquitos will make its nest","It cools very fastly ,best cooler at this price and daily fill fresh water for best cooling results, when not in use cover up the air cooler with its card board or rut box or wrap some old clothes otherwise mosquitos will make its nest",en,cool fastly best cooler price daily fill fresh water best cooling result use cover air cooler card board rut box wrap old clothes otherwise mosquito make nest,"['cool', 'fastly', 'best', 'cooler', 'price', 'daily', 'fill', 'fresh', 'water', 'best', 'cooling', 'result', 'use', 'cover', 'air', 'cooler', 'card', 'board', 'rut', 'box', 'wrap', 'old', 'clothes', 'otherwise', 'mosquito', 'make', 'nest']"
,For small room it's really good,For small room it's really good,en,small room really good,"['small', 'room', 'really', 'good']"
,is good product,is good product,en,good product,"['good', 'product']"
,Received my product just one hour ago. It's looking so cool & I am very excited to use it because its my first ever cooler purchase..I wanna say that its the best cooler under 6k. Thanks Flipkart..!!,Received my product just one hour ago. It's looking so cool & I am very excited to use it because its my first ever cooler purchase..I wanna say that its the best cooler under 6k. Thanks Flipkart..!!,en,received product one hour ago looking cool excited use first ever cooler purchase wan say best cooler thanks flipkart,"['received', 'product', 'one', 'hour', 'ago', 'looking', 'cool', 'excited', 'use', 'first', 'ever', 'cooler', 'purchase', 'wan', 'say', 'best', 'cooler', 'thanks', 'flipkart']"
3.9,"The hindware cooler was awesome and nice cooling for personal and bedroom use but the size were too small..
Company or seller should give at least 1 stand for this cooler for more increase in height.......because when we put this on ground level it shoud give air half of the bed at half upper side and half bottom side due to small in size....
Soo it needs more height......","The hindware cooler was awesome and nice cooling for personal and bedroom use but the size were too small..
Company or seller should give at least 1 stand for this cooler for more increase in height.......because when we put this on ground level it shoud give air half of the bed at half upper side and half bottom side due to small in size....
Soo it needs more height......",en,hindware cooler awesome nice cooling personal bedroom use size small company seller give least stand cooler increase height put ground level shoud give air half bed half upper side half bottom side due small size soo need height,"['hindware', 'cooler', 'awesome', 'nice', 'cooling', 'personal', 'bedroom', 'use', 'size', 'small', 'company', 'seller', 'give', 'least', 'stand', 'cooler', 'increase', 'height', 'put', 'ground', 'level', 'shoud', 'give', 'air', 'half', 'bed', 'half', 'upper', 'side', 'half', 'bottom', 'side', 'due', 'small', 'size', 'soo', 'need', 'height']"
,"Hindware 45 L cooler is good and working well as of now.
got this cooler within a day of booking. cooling is good and cools 160 Sq FT area easily in 15 mins.. good for medium size room...
button knob should have markings or indicator for function selection and speed selection..
ice chamber should have been provided...
I m mostly using on speed 1 and still provides good air throw.. on high speed noise level also increases..
overall plastic quality is good.
hoping it would last long and less repair and maintenance is required..
satisfied with the product..","Hindware 45 L cooler is good and working well as of now.
got this cooler within a day of booking. cooling is good and cools 160 Sq FT area easily in 15 mins.. good for medium size room...
button knob should have markings or indicator for function selection and speed selection..
ice chamber should have been provided...
I m mostly using on speed 1 and still provides good air throw.. on high speed noise level also increases..
overall plastic quality is good.
hoping it would last long and less repair and maintenance is required..
satisfied with the product..",en,hindware cooler good working well got cooler within day booking cooling good cool 160 area easily min good medium size room button knob marking indicator function selection speed selection ice chamber provided mostly using speed still provides good air throw high speed noise level also increase overall plastic quality good hoping would last long less repair maintenance required satisfied product,"['hindware', 'cooler', 'good', 'working', 'well', 'got', 'cooler', 'within', 'day', 'booking', 'cooling', 'good', 'cool', '160', 'area', 'easily', 'min', 'good', 'medium', 'size', 'room', 'button', 'knob', 'marking', 'indicator', 'function', 'selection', 'speed', 'selection', 'ice', 'chamber', 'provided', 'mostly', 'using', 'speed', 'still', 'provides', 'good', 'air', 'throw', 'high', 'speed', 'noise', 'level', 'also', 'increase', 'overall', 'plastic', 'quality', 'good', 'hoping', 'would', 'last', 'long', 'less', 'repair', 'maintenance', 'required', 'satisfied', 'product']"
,Side windows not level,Side windows not level,en,side window level,"['side', 'window', 'level']"
,"Product is ok for couples or for three persons
it is good for small rooms i am writing this reveiw after 5 days,
one thing i want to mention is, its started making unusual sounds from inside within a week of purchase. i have called customer care exe they are replacing its motor.","Product is ok for couples or for three persons
it is good for small rooms i am writing this reveiw after 5 days,
one thing i want to mention is, its started making unusual sounds from inside within a week of purchase. i have called customer care exe they are replacing its motor.",en,product couple three person good small room writing reveiw day one thing want mention started making unusual sound inside within week purchase called customer care exe replacing motor,"['product', 'couple', 'three', 'person', 'good', 'small', 'room', 'writing', 'reveiw', 'day', 'one', 'thing', 'want', 'mention', 'started', 'making', 'unusual', 'sound', 'inside', 'within', 'week', 'purchase', 'called', 'customer', 'care', 'exe', 'replacing', 'motor']"
,It's Good Product,It's Good Product,en,good product,"['good', 'product']"
,Super super,Super super,id,super super,"['super', 'super']"
,"For Overall build quality and material used - 1 Star
For Properly Water Distribution Design to spray over every honey comb equally used - 1 Star
For Maximum Tank which is of 45 Ltr water storage capacity when compared to other brands products have the same price range used - 1 Star
For Energy Efficient which is Power Consumption of - 105 W - 1 star
For compact size- 1 star.

Few Cons- Higher price of 6000. price should have lower to 5k. Bought it @5400 using credit card offer and even in low speed air throw/fan speed is high.
Overall it is okay in this price range.. can be used for small room and single person.","For Overall build quality and material used - 1 Star
For Properly Water Distribution Design to spray over every honey comb equally used - 1 Star
For Maximum Tank which is of 45 Ltr water storage capacity when compared to other brands products have the same price range used - 1 Star
For Energy Efficient which is Power Consumption of - 105 W - 1 star
For compact size- 1 star.

Few Cons- Higher price of 6000. price should have lower to 5k. Bought it @5400 using credit card offer and even in low speed air throw/fan speed is high.
Overall it is okay in this price range.. can be used for small room and single person.",en,overall build quality material used star properly water distribution design spray every honey comb equally used star maximum tank ltr water storage capacity compared brand product price range used star energy efficient power consumption 105 star compact size star con higher price 6000 price lower bought using credit card offer even low speed air throw fan speed high overall okay price range used small room single person,"['overall', 'build', 'quality', 'material', 'used', 'star', 'properly', 'water', 'distribution', 'design', 'spray', 'every', 'honey', 'comb', 'equally', 'used', 'star', 'maximum', 'tank', 'ltr', 'water', 'storage', 'capacity', 'compared', 'brand', 'product', 'price', 'range', 'used', 'star', 'energy', 'efficient', 'power', 'consumption', '105', 'star', 'compact', 'size', 'star', 'con', 'higher', 'price', '6000', 'price', 'lower', 'bought', 'using', 'credit', 'card', 'offer', 'even', 'low', 'speed', 'air', 'throw', 'fan', 'speed', 'high', 'overall', 'okay', 'price', 'range', 'used', 'small', 'room', 'single', 'person']"
,"Cooler buit 3.5/5
Fan speed 5/5
3 Colling vent 4/5
Fan Noise 3/5
Wheels 4/5
Water capacity is 55 L 5/5
Cooling 3.7/5

Overall experience is good you can go for it","Cooler buit 3.5/5
Fan speed 5/5
3 Colling vent 4/5
Fan Noise 3/5
Wheels 4/5
Water capacity is 55 L 5/5
Cooling 3.7/5

Overall experience is good you can go for it",en,cooler buit fan speed colling vent fan noise wheel water capacity cooling overall experience good,"['cooler', 'buit', 'fan', 'speed', 'colling', 'vent', 'fan', 'noise', 'wheel', 'water', 'capacity', 'cooling', 'overall', 'experience', 'good']"
,"Water leak ,worst quality","Water leak ,worst quality",en,water leak worst quality,"['water', 'leak', 'worst', 'quality']"
,Good Product,Good Product,en,good product,"['good', 'product']"
3.9,Very good cooler,Very good cooler,en,good cooler,"['good', 'cooler']"
,"Overall a good product, good cooling, sufficient water for overnight, more than enough.

Cons:
- Noise
- random water spilling (can be fixed by adjusting the cartons - honeybee)
- lack of mosquito net (it would have reduced water spillage)","Overall a good product, good cooling, sufficient water for overnight, more than enough.

Cons:
- Noise
- random water spilling (can be fixed by adjusting the cartons - honeybee)
- lack of mosquito net (it would have reduced water spillage)",en,overall good product good cooling sufficient water overnight enough con noise random water spilling fixed adjusting carton honeybee lack mosquito net would reduced water spillage,"['overall', 'good', 'product', 'good', 'cooling', 'sufficient', 'water', 'overnight', 'enough', 'con', 'noise', 'random', 'water', 'spilling', 'fixed', 'adjusting', 'carton', 'honeybee', 'lack', 'mosquito', 'net', 'would', 'reduced', 'water', 'spillage']"
,Product is good enough for two people and for a small rooms ..air throw is not much good..but in this summer it's helps a lot 🙂,Product is good enough for two people and for a small rooms ..air throw is not much good..but in this summer it's helps a lot 🙂,en,product good enough two people small room air throw much good summer help lot,"['product', 'good', 'enough', 'two', 'people', 'small', 'room', 'air', 'throw', 'much', 'good', 'summer', 'help', 'lot']"
,Excellent cooling but there is leakage 9f water which spiils on the floor. I got first one replacement but the new one also has leakage between the pad and tub.....but when it starts working it's awesome.,Excellent cooling but there is leakage 9f water which spiils on the floor. I got first one replacement but the new one also has leakage between the pad and tub.....but when it starts working it's awesome.,en,excellent cooling leakage water spiils floor got first one replacement new one also leakage pad tub start working awesome,"['excellent', 'cooling', 'leakage', 'water', 'spiils', 'floor', 'got', 'first', 'one', 'replacement', 'new', 'one', 'also', 'leakage', 'pad', 'tub', 'start', 'working', 'awesome']"
,Nice Product value for money.,Nice Product value for money.,en,nice product value money,"['nice', 'product', 'value', 'money']"
,"Product is good but some water likeg from side,,, and meterial quality is normal not a hard flastic","Product is good but some water likeg from side,,, and meterial quality is normal not a hard flastic",en,product good water likeg side meterial quality normal hard flastic,"['product', 'good', 'water', 'likeg', 'side', 'meterial', 'quality', 'normal', 'hard', 'flastic']"
,After 10 days used the product is very good,After 10 days used the product is very good,en,day used product good,"['day', 'used', 'product', 'good']"
,Good product and cooling very good.,Good product and cooling very good.,en,good product cooling good,"['good', 'product', 'cooling', 'good']"
,Value for money,Value for money,ca,value money,"['value', 'money']"
,I am satisfied with this cooler 😍😍.,I am satisfied with this cooler 😍😍.,en,satisfied cooler,"['satisfied', 'cooler']"
3.9,Excellent,Excellent,ca,excellent,['excellent']
,"I have been using it for almost 4 months now. It is super silent, no disturbance in the sleep. Although it requires regularly cleanings after 20-25 days, otherwise water starts spilling out from the pads due to dirt and clogging as it do not have dust mesh outside like some other air coolers. Good air throw and the cooling is also good.","I have been using it for almost 4 months now. It is super silent, no disturbance in the sleep. Although it requires regularly cleanings after 20-25 days, otherwise water starts spilling out from the pads due to dirt and clogging as it do not have dust mesh outside like some other air coolers. Good air throw and the cooling is also good.",en,using almost month super silent disturbance sleep although requires regularly cleaning day otherwise water start spilling pad due dirt clogging dust mesh outside like air cooler good air throw cooling also good,"['using', 'almost', 'month', 'super', 'silent', 'disturbance', 'sleep', 'although', 'requires', 'regularly', 'cleaning', 'day', 'otherwise', 'water', 'start', 'spilling', 'pad', 'due', 'dirt', 'clogging', 'dust', 'mesh', 'outside', 'like', 'air', 'cooler', 'good', 'air', 'throw', 'cooling', 'also', 'good']"
,Good quality,Good quality,en,good quality,"['good', 'quality']"
,Awesome product with price 👌 thanks flipkart,Awesome product with price 👌 thanks flipkart,en,awesome product price thanks flipkart,"['awesome', 'product', 'price', 'thanks', 'flipkart']"
,Too short,Too short,en,short,['short']
,Good product,Good product,en,good product,"['good', 'product']"
,"Cooler is of nice quality and sufficient for 120 sqft room.
Air throw is also decent and swing works very good.","Cooler is of nice quality and sufficient for 120 sqft room.
Air throw is also decent and swing works very good.",en,cooler nice quality sufficient 120 sqft room air throw also decent swing work good,"['cooler', 'nice', 'quality', 'sufficient', '120', 'sqft', 'room', 'air', 'throw', 'also', 'decent', 'swing', 'work', 'good']"
,"Nice product

Awesome looks and works fine","Nice product

Awesome looks and works fine",en,nice product awesome look work fine,"['nice', 'product', 'awesome', 'look', 'work', 'fine']"
,"Well designed, Good quality material, High speed fan , and low electricity consumption. Just go for it if you have medium size room with cross ventilation.","Well designed, Good quality material, High speed fan , and low electricity consumption. Just go for it if you have medium size room with cross ventilation.",en,well designed good quality material high speed fan low electricity consumption medium size room cross ventilation,"['well', 'designed', 'good', 'quality', 'material', 'high', 'speed', 'fan', 'low', 'electricity', 'consumption', 'medium', 'size', 'room', 'cross', 'ventilation']"
,Super product on this price tank capacity ok fan speed ok but hight is 10% more want this sagment,Super product on this price tank capacity ok fan speed ok but hight is 10% more want this sagment,en,super product price tank capacity fan speed hight want sagment,"['super', 'product', 'price', 'tank', 'capacity', 'fan', 'speed', 'hight', 'want', 'sagment']"
3.9,Really Best product.. Good Coolingand Velue for money 🤑🤑,Really Best product.. Good Coolingand Velue for money 🤑🤑,en,really best product good coolingand velue money,"['really', 'best', 'product', 'good', 'coolingand', 'velue', 'money']"
,"Good quality product.
Fan noise slightly more.","Good quality product.
Fan noise slightly more.",en,good quality product fan noise slightly,"['good', 'quality', 'product', 'fan', 'noise', 'slightly']"
,Very good,Very good,af,good,['good']
,Super ❤️,Super ❤️,id,super,['super']
,Cooler is great but according to price size very small,Cooler is great but according to price size very small,en,cooler great according price size small,"['cooler', 'great', 'according', 'price', 'size', 'small']"
,Nice product,Nice product,ro,nice product,"['nice', 'product']"
,Go for it,Go for it,en,,[]
,Good working,Good working,af,good working,"['good', 'working']"
,Good,Good,so,good,['good']
,Okey,Okey,tr,okey,['okey']
3.9,All right,All right,en,right,['right']
,Budget Cooler,Budget Cooler,da,budget cooler,"['budget', 'cooler']"
,"Do not go with this product. I bought this Hindware 45L Personal Air Cooler 1 month ago and it's pump works sometimes and stops working suddenly. The customer service of hindware is too bad. When you raise tickets, your tickets will be cancelled automatically by them and no service will be provided.","Do not go with this product. I bought this Hindware 45L Personal Air Cooler 1 month ago and it's pump works sometimes and stops working suddenly. The customer service of hindware is too bad. When you raise tickets, your tickets will be cancelled automatically by them and no service will be provided.",en,product bought hindware 45l personal air cooler month ago pump work sometimes stop working suddenly customer service hindware bad raise ticket ticket cancelled automatically service provided,"['product', 'bought', 'hindware', '45l', 'personal', 'air', 'cooler', 'month', 'ago', 'pump', 'work', 'sometimes', 'stop', 'working', 'suddenly', 'customer', 'service', 'hindware', 'bad', 'raise', 'ticket', 'ticket', 'cancelled', 'automatically', 'service', 'provided']"
,I love this product thanks Flipkart ❤️,I love this product thanks Flipkart ❤️,en,love product thanks flipkart,"['love', 'product', 'thanks', 'flipkart']"
,"Product build quality absolute best!! No 2nd thought, had not expected this budget friendly air cooler to be this Best.
Noise perspective Minimum because it uses fan not the blower.
Pump works good,
Opertatng knobs works great, touch n feel is also very good.
Then comes to Air throw, We have been using speed 1 and throws air upto 10 feet easily.so think of top speed.
And finally comes to performance wise cooling the air is good not great, don't expect too much from aircoolers in this hot summer..but as middle class we expect too much in minimum budget range..
So I suggest no turn around just go for it, it's absolute beast in its own range.","Product build quality absolute best!! No 2nd thought, had not expected this budget friendly air cooler to be this Best.
Noise perspective Minimum because it uses fan not the blower.
Pump works good,
Opertatng knobs works great, touch n feel is also very good.
Then comes to Air throw, We have been using speed 1 and throws air upto 10 feet easily.so think of top speed.
And finally comes to performance wise cooling the air is good not great, don't expect too much from aircoolers in this hot summer..but as middle class we expect too much in minimum budget range..
So I suggest no turn around just go for it, it's absolute beast in its own range.",en,product build quality absolute best 2nd thought expected budget friendly air cooler best noise perspective minimum us fan blower pump work good opertatng knob work great touch feel also good come air throw using speed throw air upto foot easily think top speed finally come performance wise cooling air good great expect much aircoolers hot summer middle class expect much minimum budget range suggest turn around absolute beast range,"['product', 'build', 'quality', 'absolute', 'best', '2nd', 'thought', 'expected', 'budget', 'friendly', 'air', 'cooler', 'best', 'noise', 'perspective', 'minimum', 'us', 'fan', 'blower', 'pump', 'work', 'good', 'opertatng', 'knob', 'work', 'great', 'touch', 'feel', 'also', 'good', 'come', 'air', 'throw', 'using', 'speed', 'throw', 'air', 'upto', 'foot', 'easily', 'think', 'top', 'speed', 'finally', 'come', 'performance', 'wise', 'cooling', 'air', 'good', 'great', 'expect', 'much', 'aircoolers', 'hot', 'summer', 'middle', 'class', 'expect', 'much', 'minimum', 'budget', 'range', 'suggest', 'turn', 'around', 'absolute', 'beast', 'range']"
,Well packaged and delivered in good condition... Don't go by the negative reviews ...I am using it and it's worth buying .,Well packaged and delivered in good condition... Don't go by the negative reviews ...I am using it and it's worth buying .,en,well packaged delivered good condition negative review using worth buying,"['well', 'packaged', 'delivered', 'good', 'condition', 'negative', 'review', 'using', 'worth', 'buying']"
,Paisa wasool products,Paisa wasool products,en,paisa wasool product,"['paisa', 'wasool', 'product']"
,Good,Good,so,good,['good']
,Nice product..,Nice product..,ro,nice product,"['nice', 'product']"
,Good as price,Good as price,en,good price,"['good', 'price']"
